到达时间: 2025-03-27 15:57:17.633, AMP: 47.861, Power: 0.673, RMS: 0.086, ASL: 36.743, tr: 1720, 上升计数: 37, 持续时间: 2000, 振铃计数: 42
到达时间: 2025-03-27 15:57:17.635, AMP: 44.339, Power: 0.626, RMS: 0.083, ASL: 36.724, tr: 960, 上升计数: 24, 持续时间: 2000, 振铃计数: 47
到达时间: 2025-03-27 15:57:17.637, AMP: 48.776, Power: 0.744, RMS: 0.091, ASL: 37.435, tr: 1300, 上升计数: 26, 持续时间: 2000, 振铃计数: 41
到达时间: 2025-03-27 15:57:17.639, AMP: 49.060, Power: 0.972, RMS: 0.104, ASL: 38.455, tr: 1940, 上升计数: 43, 持续时间: 2000, 振铃计数: 44
到达时间: 2025-03-27 15:57:17.641, AMP: 46.212, Power: 0.708, RMS: 0.089, ASL: 37.048, tr: 1870, 上升计数: 42, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.643, AMP: 46.341, Power: 1.068, RMS: 0.109, ASL: 39.011, tr: 1050, 上升计数: 21, 持续时间: 2000, 振铃计数: 42
到达时间: 2025-03-27 15:57:17.645, AMP: 49.245, Power: 1.092, RMS: 0.110, ASL: 38.932, tr: 1390, 上升计数: 30, 持续时间: 2000, 振铃计数: 44
到达时间: 2025-03-27 15:57:17.647, AMP: 49.777, Power: 1.443, RMS: 0.127, ASL: 40.046, tr: 1030, 上升计数: 21, 持续时间: 2000, 振铃计数: 42
到达时间: 2025-03-27 15:57:17.649, AMP: 47.753, Power: 0.912, RMS: 0.101, ASL: 38.327, tr: 1730, 上升计数: 37, 持续时间: 2000, 振铃计数: 41
到达时间: 2025-03-27 15:57:17.652, AMP: 45.949, Power: 0.739, RMS: 0.091, ASL: 37.266, tr: 1710, 上升计数: 32, 持续时间: 2000, 振铃计数: 38
到达时间: 2025-03-27 15:57:17.654, AMP: 47.192, Power: 0.936, RMS: 0.102, ASL: 38.250, tr: 1160, 上升计数: 25, 持续时间: 2000, 振铃计数: 44
到达时间: 2025-03-27 15:57:17.656, AMP: 47.421, Power: 0.796, RMS: 0.094, ASL: 37.574, tr: 1670, 上升计数: 38, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.658, AMP: 45.949, Power: 0.532, RMS: 0.077, ASL: 35.775, tr: 1380, 上升计数: 30, 持续时间: 2000, 振铃计数: 44
到达时间: 2025-03-27 15:57:17.660, AMP: 45.539, Power: 0.648, RMS: 0.085, ASL: 36.781, tr: 1060, 上升计数: 24, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.662, AMP: 46.082, Power: 0.611, RMS: 0.082, ASL: 36.411, tr: 1550, 上升计数: 36, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.664, AMP: 46.837, Power: 0.564, RMS: 0.079, ASL: 36.256, tr: 710, 上升计数: 17, 持续时间: 2000, 振铃计数: 48
到达时间: 2025-03-27 15:57:17.666, AMP: 44.959, Power: 0.562, RMS: 0.079, ASL: 36.135, tr: 750, 上升计数: 17, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.668, AMP: 44.959, Power: 0.630, RMS: 0.084, ASL: 36.560, tr: 580, 上升计数: 13, 持续时间: 2000, 振铃计数: 44
到达时间: 2025-03-27 15:57:17.670, AMP: 44.339, Power: 0.358, RMS: 0.063, ASL: 34.072, tr: 1920, 上升计数: 40, 持续时间: 2000, 振铃计数: 41
到达时间: 2025-03-27 15:57:17.672, AMP: 42.946, Power: 0.260, RMS: 0.054, ASL: 32.826, tr: 950, 上升计数: 22, 持续时间: 2000, 振铃计数: 43
到达时间: 2025-03-27 15:57:17.674, AMP: 43.133, Power: 0.302, RMS: 0.058, ASL: 33.582, tr: 1830, 上升计数: 42, 持续时间: 2000, 振铃计数: 46
到达时间: 2025-03-27 15:57:17.676, AMP: 41.287, Power: 0.256, RMS: 0.053, ASL: 32.957, tr: 1280, 上升计数: 30, 持续时间: 2000, 振铃计数: 46
到达时间: 2025-03-27 15:57:17.678, AMP: 41.512, Power: 0.197, RMS: 0.047, ASL: 31.607, tr: 440, 上升计数: 10, 持续时间: 2000, 振铃计数: 47
到达时间: 2025-03-27 15:57:17.681, AMP: 40.572, Power: 0.240, RMS: 0.052, ASL: 32.385, tr: 350, 上升计数: 8, 持续时间: 2000, 振铃计数: 40
到达时间: 2025-03-27 15:57:17.683, AMP: 40.572, Power: 0.207, RMS: 0.048, ASL: 31.894, tr: 50, 上升计数: 1, 持续时间: 1190, 振铃计数: 34
到达时间: 2025-03-27 15:57:17.685, AMP: 43.316, Power: 0.288, RMS: 0.057, ASL: 33.485, tr: 790, 上升计数: 20, 持续时间: 2000, 振铃计数: 49
到达时间: 2025-03-27 15:57:17.687, AMP: 58.634, Power: 4.124, RMS: 0.214, ASL: 42.694, tr: 650, 上升计数: 14, 持续时间: 2000, 振铃计数: 41
到达时间: 2025-03-27 15:57:17.689, AMP: 43.670, Power: 0.398, RMS: 0.067, ASL: 34.951, tr: 600, 上升计数: 14, 持续时间: 2000, 振铃计数: 40
到达时间: 2025-03-27 15:57:17.691, AMP: 41.055, Power: 0.225, RMS: 0.050, ASL: 32.077, tr: 1080, 上升计数: 25, 持续时间: 2000, 振铃计数: 38
到达时间: 2025-03-27 15:57:17.693, AMP: 43.495, Power: 0.324, RMS: 0.060, ASL: 33.783, tr: 230, 上升计数: 5, 持续时间: 2000, 振铃计数: 48
到达时间: 2025-03-27 15:57:17.695, AMP: 40.817, Power: 0.268, RMS: 0.055, ASL: 33.003, tr: 570, 上升计数: 14, 持续时间: 2000, 振铃计数: 45
到达时间: 2025-03-27 15:57:17.697, AMP: 40.817, Power: 0.230, RMS: 0.051, ASL: 32.140, tr: 520, 上升计数: 12, 持续时间: 1170, 振铃计数: 43
到达时间: 2025-03-27 15:57:17.699, AMP: 41.287, Power: 0.216, RMS: 0.049, ASL: 31.906, tr: 940, 上升计数: 21, 持续时间: 2000, 振铃计数: 46
到达时间: 2025-03-27 15:57:17.701, AMP: 39.233, Power: 0.166, RMS: 0.043, ASL: 30.706, tr: 590, 上升计数: 14, 持续时间: 2000, 振铃计数: 34
到达时间: 2025-03-27 15:57:17.706, AMP: 36.925, Power: 0.073, RMS: 0.029, ASL: 26.950, tr: 10, 上升计数: 1, 持续时间: 1240, 振铃计数: 40
到达时间: 2025-03-27 15:57:17.710, AMP: 40.320, Power: 0.241, RMS: 0.052, ASL: 32.845, tr: 220, 上升计数: 4, 持续时间: 1160, 振铃计数: 40
到达时间: 2025-03-27 15:57:17.712, AMP: 37.650, Power: 0.104, RMS: 0.034, ASL: 28.198, tr: 10, 上升计数: 1, 持续时间: 310, 振铃计数: 20
到达时间: 2025-03-27 15:57:17.799, AMP: 38.634, Power: 0.245, RMS: 0.052, ASL: 32.976, tr: 30, 上升计数: 1, 持续时间: 110, 振铃计数: 11
